id,file
1,/home/hardian_lawi/shopee/data/test/Test_1.jpg
2,/home/hardian_lawi/shopee/data/test/Test_2.jpg
3,/home/hardian_lawi/shopee/data/test/Test_3.jpg
4,/home/hardian_lawi/shopee/data/test/Test_4.jpg
5,/home/hardian_lawi/shopee/data/test/Test_5.jpg
6,/home/hardian_lawi/shopee/data/test/Test_6.jpg
7,/home/hardian_lawi/shopee/data/test/Test_7.jpg
8,/home/hardian_lawi/shopee/data/test/Test_8.jpg
9,/home/hardian_lawi/shopee/data/test/Test_9.jpg
10,/home/hardian_lawi/shopee/data/test/Test_10.jpg
11,/home/hardian_lawi/shopee/data/test/Test_11.jpg
12,/home/hardian_lawi/shopee/data/test/Test_12.jpg
13,/home/hardian_lawi/shopee/data/test/Test_13.jpg
14,/home/hardian_lawi/shopee/data/test/Test_14.jpg
15,/home/hardian_lawi/shopee/data/test/Test_15.jpg
16,/home/hardian_lawi/shopee/data/test/Test_16.jpg
17,/home/hardian_lawi/shopee/data/test/Test_17.jpg
18,/home/hardian_lawi/shopee/data/test/Test_18.jpg
19,/home/hardian_lawi/shopee/data/test/Test_19.jpg
20,/home/hardian_lawi/shopee/data/test/Test_20.jpg
21,/home/hardian_lawi/shopee/data/test/Test_21.jpg
22,/home/hardian_lawi/shopee/data/test/Test_22.jpg
23,/home/hardian_lawi/shopee/data/test/Test_23.jpg
24,/home/hardian_lawi/shopee/data/test/Test_24.jpg
25,/home/hardian_lawi/shopee/data/test/Test_25.jpg
26,/home/hardian_lawi/shopee/data/test/Test_26.jpg
27,/home/hardian_lawi/shopee/data/test/Test_27.jpg
28,/home/hardian_lawi/shopee/data/test/Test_28.jpg
29,/home/hardian_lawi/shopee/data/test/Test_29.jpg
30,/home/hardian_lawi/shopee/data/test/Test_30.jpg
31,/home/hardian_lawi/shopee/data/test/Test_31.jpg
32,/home/hardian_lawi/shopee/data/test/Test_32.jpg
33,/home/hardian_lawi/shopee/data/test/Test_33.jpg
34,/home/hardian_lawi/shopee/data/test/Test_34.jpg
35,/home/hardian_lawi/shopee/data/test/Test_35.jpg
36,/home/hardian_lawi/shopee/data/test/Test_36.jpg
37,/home/hardian_lawi/shopee/data/test/Test_37.jpg
